condition_group_id,decision_profile,feature_security_priority,feature_latency_priority,feature_throughput_priority,feature_robustness_priority,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,sweep_id,oracle_best_pipeline,oracle_best_utility,oracle_margin_to_second,oracle_best_security_score,oracle_best_latency_ms,oracle_best_throughput_bps,oracle_best_success_rate,split
00cb862b5aa5bb7a,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1497.237892,5471.408413967658,1.0,train
033a15b88c5626ec,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.43844419828875203,0.6619992061004064,1635.193993,5009.803139608281,1.0,train
07d8fd65ce198650,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.44822981055522426,0.6950157824182576,1487.921385,5505.667223137599,1.0,train
1f09dabebfd3832e,BALANCED,0.65,0.65,0.5,0.8,1024,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.8516115527969093,0.061337785469827266,0.6970737530133887,1936.153766,4231.068907778061,1.0,train
2432916861329049,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.08,0.1,4,0.005,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.46155580171124794,0.6950157824182576,1524.942769,5372.004882105842,1.0,train
27ce4cae70d4f3ac,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.3274010384678916,0.6970737530133887,1582.034453,5178.142602688313,1.0,train
28000d1cd70332ba,BALANCED,0.65,0.65,0.5,0.8,4096,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.01048974141542569,0.7000734665461884,1500.280473,21841.249412835623,1.0,train
2a9c7e375c3b1e5a,BALANCED,0.65,0.65,0.5,0.8,128,60.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.03429743989465672,0.6970737530133887,1999.866282,512.0342340968575,1.0,train
2f37dfb7fb10e09a,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.09330445602843596,0.7000734665461884,1508.888377,5429.162372028796,1.0,train
424163238a693cc9,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.04,0.06,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1491.29805,5493.201040529759,1.0,train
442d9d9c675fd147,BALANCED,0.65,0.65,0.5,0.8,1024,30.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.04221528163396426,0.6970737530133887,1697.812931,4825.030985701686,1.0,train
5bed06fd28bca5e6,BALANCED,0.65,0.65,0.5,0.8,4096,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8768281707109384,0.04951902382291917,0.6950157824182576,2038.526119,16074.358672467908,1.0,train
5c4a8248da3e2734,BALANCED,0.65,0.65,0.5,0.8,1024,30.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.05818283030612004,0.6619992061004064,1812.895081,4518.7391624899,1.0,train
5c7f52c9a91a45b6,BALANCED,0.65,0.65,0.5,0.8,4096,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.007107857456424949,0.7000734665461884,2049.321783,15989.680230710748,1.0,train
5e6e9369c567346b,BALANCED,0.65,0.65,0.5,0.8,4096,30.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.07151485896850329,0.6970737530133887,1804.797815,18156.05034960661,1.0,train
6f6c8b45ec93f476,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.13217251866856716,0.6950157824182576,1502.647537,5451.710929067992,1.0,train
6fb3a6e5b90ba5b6,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.02,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1504.258597,5445.872150132707,1.0,train
76981e84664fd497,BALANCED,0.65,0.65,0.5,0.8,128,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.11518912262423497,0.7000734665461884,1473.95789,694.7281241528548,1.0,train
781953fabf9d56cb,BALANCED,0.65,0.65,0.5,0.8,4096,30.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.025671412327043175,0.6619992061004064,1716.362773,19091.535027134967,1.0,train
806274276b76ea85,BALANCED,0.65,0.65,0.5,0.8,4096,0.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.009799912805626088,0.6970737530133887,1603.792279,20431.57360779388,1.0,train
90300ca6639ff1a4,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.02,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1496.00187,5475.928983965776,1.0,train
919847161c2ccca6,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.08,0.1,4,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.46155580171124794,0.6950157824182576,1512.103407,5417.618902303023,1.0,train
972027f25bdd3af1,BALANCED,0.65,0.65,0.5,0.8,128,30.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.2846394882684846,0.6970737530133887,1795.204517,570.4085469388333,1.0,train
