pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id,split,decision_profile,feature_security_priority,feature_latency_priority,feature_throughput_priority,feature_robustness_priority,qkd_headroom,qkd_noise_ratio,qkd_raw_cost_log2,qkd_risk_proxy,lindblad_on,lindblad_intensity,network_stress,payload_pressure_log2,system_stress,is_qkd_pipeline,is_lindblad_pipeline
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1625.515384,1634.5632964,1625.515384,1634.5632964,78.74425628936403,629.9540503149123,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1625.515384,629.9540503149123,a31cc1c3f8f01e7d,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1625.515384,1634.5632964,1625.515384,1634.5632964,78.74425628936403,629.9540503149123,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1625.515384,629.9540503149123,a31cc1c3f8f01e7d,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1625.515384,1634.5632964,1625.515384,1634.5632964,78.74425628936403,629.9540503149123,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1625.515384,629.9540503149123,a31cc1c3f8f01e7d,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1646.779254,2757.112908,1646.779254,2757.112908,77.72747907109596,621.8198325687677,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1646.779254,621.8198325687677,d4993d86913198bf,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1646.779254,2757.112908,1646.779254,2757.112908,77.72747907109596,621.8198325687677,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1646.779254,621.8198325687677,d4993d86913198bf,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1646.779254,2757.112908,1646.779254,2757.112908,77.72747907109596,621.8198325687677,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1646.779254,621.8198325687677,d4993d86913198bf,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,0.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1615.592341,2110.4068519,1615.592341,2110.4068519,79.22790715928505,633.8232572742804,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1615.592341,633.8232572742804,76981e84664fd497,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,20.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1615.592341,2110.4068519,1615.592341,2110.4068519,79.22790715928505,633.8232572742804,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1615.592341,633.8232572742804,76981e84664fd497,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,20.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1615.592341,2110.4068519,1615.592341,2110.4068519,79.22790715928505,633.8232572742804,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1615.592341,633.8232572742804,76981e84664fd497,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,20.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,0.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1915.89525,2031.7062528,1915.89525,2031.7062528,66.80949806624345,534.4759845299476,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1915.89525,534.4759845299476,e35798b7d3ec8d5e,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,20.0,7.0,2.0,0,0
