probe_id,pipeline_id,source_group,trial_idx,sweep_id,session_id,msg_len_bytes,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,kem_scheme,auth_scheme,use_qkd,use_lindblad,use_replay_protection,success,abort,abort_reason,qber,transcript_digest_hex,auth_verified,lindblad_meta
f9ca3993d94e0ab7c0516c636e43b6d15d5fc649308b811361550cb2ba6542f2,A0_MINIMAL_PQC,ablation_variant,0,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-0,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,9c51c08f970a9c437fc8643cf1e9f1cf607d808ef64cb8a73377c1cbd50484fb,True,
303f4ea7d31baa1b655a92f3c3219d648884e172aeb6b0c243727fe17863f854,A0_MINIMAL_PQC,ablation_variant,1,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-1,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,c230c58db25eb0084dec5c7bfcf2a920e6b08a8a450a575397ca42304cc750c0,True,
65cf988c26a957ab4b53eb0649b26a14f413c6f6eeb57b10c7cbcb79d1c2969b,A0_MINIMAL_PQC,ablation_variant,2,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-2,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,7a70e5f7713fc7177121046a2d010220ce75a489c193f0e92c65b9639737743a,True,
484fd3e819e1b0dcff77d6526111760ce5556c63cf1fc8ef0ca38d74848e83d9,A0_MINIMAL_PQC,ablation_variant,3,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-3,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,e707519b809f5c63ff00be05db7f3531b304d797aab2313986eebd58731b69c9,True,
1c316b69b6456b72551d263414fcc2b446c3ca60c21d172b654be44c718c2470,A0_MINIMAL_PQC,ablation_variant,4,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-4,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,35b62a91ca15631fed58e89c2e4c8765b7d6048dd7d4c521893d4a28635a5b1e,True,
19086d20c40989cd628b346cd3db915a7166efbadb2bbd7e611c57b346404fb2,A0_MINIMAL_PQC,ablation_variant,5,ablation_comparison,secprobe-A0_MINIMAL_PQC-ablation_comparison-5,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,False,True,True,False,,,703f7e5f13d05fc51c9528913cc29599c0326ce4dab6765b178997c81abd0acf,True,
f9c6b9a0b00e74a26dc670a1241e467ec0b88e1553f9afbba4ffe955d225f10f,A1_PQC_AUTH,ablation_variant,0,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-0,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,8098f16123b1aafc58fc8786a88a3b5cf376587a1fd1bd4602d86e31c28a7c2d,True,
a2bf016cfd7d8131b6118f5990985e19c5dc601a3a8e08dab6e3033199cf7d62,A1_PQC_AUTH,ablation_variant,1,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-1,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,0ea381331c7ecf7d2cc0c1321ed8d700fd0edc795cf60fca626abdff89e643ca,True,
1bdba505fcd7f71c7de2e6f473f3603afeb9b58579e752a2ef1152532f1e972f,A1_PQC_AUTH,ablation_variant,2,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-2,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,8d5fa720b2e8fff6998dd9b496ef10aa022b1b0f58d3663cbc3ab54a277603a8,True,
5ad6a6e627441d72a1b9c17698caeeb76b034f7e42ad9d394d1323512adb01f7,A1_PQC_AUTH,ablation_variant,3,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-3,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,c4b3e04a4664708de9b8da03c055b5f99e2c10441b9160121197b329c8943f96,True,
4bab612eb36413d8005ae9112c2341e2000c0e46e95136a391e381ee06c846fa,A1_PQC_AUTH,ablation_variant,4,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-4,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,10a0b1f5fbd32762e030aef10e80f8e3625d504fab9a6dfd76d28100af7c0fe6,True,
c8c339ab66b17947a5836474802eab1da748bb997eb390ceff62f0d41e115167,A1_PQC_AUTH,ablation_variant,5,ablation_comparison,secprobe-A1_PQC_AUTH-ablation_comparison-5,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,mldsa,False,False,True,True,False,,,c6a370f3e3e5f232d7048e2f28cb08731df572e1017fd54bd47cf7cb425cd2b1,True,
5bb5dd3816fc46270f206d52fa9d766d020e74d32e6b992ccd8e045e8a67ab57,A2_PQC_LINDBLAD,ablation_variant,0,ablation_comparison,secprobe-A2_PQC_LINDBLAD-ablation_comparison-0,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,91fbb32574b119117dba5e8ee66e90a17a78740eaf384f87d9b9cc99bc041728,True,"{'mode': 'stochastic', 'steps': 0, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 3671029932, 'input_len': 32, 'output_digest_sha256': '18c3e1c9572a65fbf9b5a139cffe0941c7596ec21f9f7ba773d3855d7385acdb'}"
9f9f82cbd58ebf241a9cab3df9636f02bbd1fbfbec90d815fe07121ad6a2f3e6,A2_PQC_LINDBLAD,ablation_variant,1,ablation_comparison,secprobe-A2_PQC_LINDBLAD-ablation_comparison-1,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,bcc2e249b5270b0dd61fccdbd9a27029afcd3459ec7b5ea7a4cd40726b94eea0,True,"{'mode': 'stochastic', 'steps': 0, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 1301113891, 'input_len': 32, 'output_digest_sha256': '063526b7e1fd799d4acb29cde07c98c4bee4db6a97d23288a6bf4cc69666b92c'}"
4fc34ff80d4435895eb42097ec912c8b1fbc7f8b1850a198efb403716839bf85,A2_PQC_LINDBLAD,ablation_variant,2,ablation_comparison,secprobe-A2_PQC_LINDBLAD-ablation_comparison-2,128,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,6ac1d454548e5d8511db02726b8e4b3d8b5380e860d67b5eca84ddc169d71234,True,"{'mode': 'stochastic', 'steps': 0, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 666625813, 'input_len': 32, 'output_digest_sha256': '2cccc71c0e24d5090f8df30142fe50d6b2f8fff824e70e56553fa6a24d6f8d0b'}"
1772c1ace637c863880b3dc9aa3d8be1d9996eca8358be4541e111d84016222f,A2_PQC_LINDBLAD,ablation_variant,3,ablation_comparison,secprobe-A2_PQC_LINDBLAD-ablation_comparison-3,1024,1024,0.0,0.08,0.1,0,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,b83420101bcfbcaf68f2759000221a2cb0181ff8f6d8f647beb0064a2dde04fe,True,"{'mode': 'stochastic', 'steps': 0, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 3772236062, 'input_len': 32, 'output_digest_sha256': '4938a7f83b3e60564fc2dfb4635e27e968a1984a6313263f19307a8350c20576'}"
f7d78dc25fe7e4759227ee1294f512705dc24f9790f3894e47ff8a855aa3f104,A2_PQC_LINDBLAD,ablation_variant,4,lindblad_sensitivity,secprobe-A2_PQC_LINDBLAD-lindblad_sensitivity-4,1024,1024,0.0,0.08,0.1,8,0.005,0.15,mlkem,hmac,False,True,True,True,False,,,28d79fc41e19512dea59a8fa82f37d215aa48266187272b07618b2afa084db75,True,"{'mode': 'stochastic', 'steps': 8, 'tau': 0.005, 'gamma': 0.15, 'derived_seed': 677257873, 'input_len': 32, 'output_digest_sha256': '46ce15cfa9ff65fbe0fe5e3d955b4960c13f69528bc4d4c6c132f96296ea0d68'}"
a1f94b419454bc807e93a1df08aa840216a0bcf05751cf59319b15713a137be4,A2_PQC_LINDBLAD,ablation_variant,5,lindblad_sensitivity,secprobe-A2_PQC_LINDBLAD-lindblad_sensitivity-5,1024,1024,0.0,0.08,0.1,4,0.005,0.15,mlkem,hmac,False,True,True,True,False,,,a9e69dba8c59e9710567e77b4ed574e44d438f7034d7f5a128ab9fbb4df7f9bd,True,"{'mode': 'stochastic', 'steps': 4, 'tau': 0.005, 'gamma': 0.15, 'derived_seed': 33044211, 'input_len': 32, 'output_digest_sha256': '24483612c2e4b31f6266dfcf9756d8b9089ffd9b37f1f96c3870b5be968f879c'}"
c60f6a59e06ff898bf94ea4286f7da74b7e8ad1f9c5b0bc9dd0b5d29408596b2,A2_PQC_LINDBLAD,ablation_variant,6,lindblad_sensitivity,secprobe-A2_PQC_LINDBLAD-lindblad_sensitivity-6,1024,1024,0.0,0.08,0.1,8,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,1c76b0afffec6b7c8042746b359c62ae9061cd06f664fcc26be4605045a1d417,True,"{'mode': 'stochastic', 'steps': 8, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 243278824, 'input_len': 32, 'output_digest_sha256': 'b22aed2be5408db1afd953df80cc34fe239f3cf1338b767967ad6a42f59259b4'}"
04e9739c95dc3b6bb6d86146b889bb8aab6dad73ecf4f0af9e396301862aac2e,A2_PQC_LINDBLAD,ablation_variant,7,lindblad_sensitivity,secprobe-A2_PQC_LINDBLAD-lindblad_sensitivity-7,1024,1024,0.0,0.08,0.1,4,0.01,0.15,mlkem,hmac,False,True,True,True,False,,,a805c0d3a950805938914606acb87d3b4a51e7584b9782a81b0467f31aecd98e,True,"{'mode': 'stochastic', 'steps': 4, 'tau': 0.01, 'gamma': 0.15, 'derived_seed': 4234821126, 'input_len': 32, 'output_digest_sha256': '288238c24c6236c08ca1f8fbd83de9454efe588cac5585eaef645ca7d4dc5ffd'}"
