pipeline_id,source_group,kem_scheme,auth_scheme,use_qkd,use_lindblad,use_replay_protection,is_valid,is_executable,validation_reasons
P1_PQC_MLDSA,main_pipeline,mlkem,mldsa,False,False,False,True,True,
P2_PQC_MLDSA_LINDBLAD,main_pipeline,mlkem,mldsa,False,True,False,True,True,
P3_HYBRID_QKD,main_pipeline,mlkem,hmac,True,False,False,True,True,
P4_HYBRID_QKD_LINDBLAD,main_pipeline,mlkem,hmac,True,True,False,True,True,
B1_CLASSICAL,external_baseline,x25519,ed25519,False,False,True,True,True,
B2_MINIMAL_PQC,external_baseline,mlkem,hmac,False,False,True,True,True,
A0_MINIMAL_PQC,ablation_variant,mlkem,hmac,False,False,True,True,True,
A1_PQC_AUTH,ablation_variant,mlkem,mldsa,False,False,True,True,True,
A2_PQC_LINDBLAD,ablation_variant,mlkem,hmac,False,True,True,True,True,
A3_HYBRID_QKD,ablation_variant,mlkem,hmac,True,False,True,True,True,
A4_HYBRID_QKD_AUTH,ablation_variant,mlkem,mldsa,True,False,True,True,True,
A5_HYBRID_QKD_LINDBLAD,ablation_variant,mlkem,hmac,True,True,True,True,True,
A6_FULL_HARDENED,ablation_variant,mlkem,mldsa,True,True,True,True,True,
A7_PQC_AUTH_NO_REPLAY,ablation_variant,mlkem,mldsa,False,False,False,True,True,
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,ablation_variant,mlkem,hmac,True,True,False,True,True,
