decision_profile,model_name,split,accuracy,top2_accuracy,macro_f1,balanced_accuracy,n_rows
BALANCED,RandomForest,test,0.14285714285714285,0.5714285714285714,0.125,0.16666666666666666,7
BALANCED,XGBoost,test,0.14285714285714285,0.5714285714285714,0.125,0.16666666666666666,7
BALANCED,RandomForest,val,0.42857142857142855,0.8571428571428571,0.1875,0.25,7
BALANCED,XGBoost,val,0.42857142857142855,0.7142857142857143,0.1875,0.25,7
FAST,RandomForest,test,0.0,0.14285714285714285,0.0,0.0,7
FAST,XGBoost,test,0.0,0.2857142857142857,0.0,0.0,7
FAST,XGBoost,val,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,7
FAST,RandomForest,val,0.0,0.5714285714285714,0.0,0.0,7
SECURE,RandomForest,test,0.2857142857142857,0.7142857142857143,0.375,0.3333333333333333,7
SECURE,XGBoost,test,0.14285714285714285,0.5714285714285714,0.125,0.08333333333333333,7
SECURE,RandomForest,val,0.42857142857142855,0.8571428571428571,0.375,0.5,7
SECURE,XGBoost,val,0.42857142857142855,0.7142857142857143,0.375,0.5,7
