pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id,latency_score_norm,throughput_score_norm,security_score_norm,robustness_score_norm,decision_profile,feasible,oracle_utility
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1497.237892,1549.1517721,1497.237892,1549.1517721,683.9260517459572,5471.408413967658,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1497.237892,5471.408413967658,00cb862b5aa5bb7a,1.0,1.0,0.7000734665461884,1.0,FAST,True,0.9700073466546189
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1601.199772,1619.9916145,1601.199772,1619.9916145,639.5204507935691,5116.163606348553,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1601.199772,5116.163606348553,00cb862b5aa5bb7a,0.0,0.0,0.6950157824182576,1.0,FAST,True,0.21950157824182576
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1497.237892,1549.1517721,1497.237892,1549.1517721,683.9260517459572,5471.408413967658,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1497.237892,5471.408413967658,00cb862b5aa5bb7a,1.0,1.0,0.7000734665461884,1.0,BALANCED,True,0.8950257132911659
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1601.199772,1619.9916145,1601.199772,1619.9916145,639.5204507935691,5116.163606348553,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1601.199772,5116.163606348553,00cb862b5aa5bb7a,0.0,0.0,0.6950157824182576,1.0,BALANCED,True,0.4432555238463901
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1497.237892,1549.1517721,1497.237892,1549.1517721,683.9260517459572,5471.408413967658,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1497.237892,5471.408413967658,00cb862b5aa5bb7a,1.0,1.0,0.7000734665461884,1.0,SECURE,True,0.8200440799277131
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1601.199772,1619.9916145,1601.199772,1619.9916145,639.5204507935691,5116.163606348553,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1601.199772,5116.163606348553,00cb862b5aa5bb7a,0.0,0.0,0.6950157824182576,1.0,SECURE,True,0.6670094694509545
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1635.193993,1657.2447859,1635.193993,1657.2447859,626.2253924510351,5009.803139608281,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1635.193993,5009.803139608281,033a15b88c5626ec,1.0,1.0,0.6619992061004064,1.0,FAST,True,0.9661999206100407
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1693.94633,1724.6189285,1693.94633,1724.6189285,604.5055748608045,4836.044598886436,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1693.94633,4836.044598886436,033a15b88c5626ec,0.0,0.0,0.6950157824182576,1.0,FAST,True,0.21950157824182576
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1635.193993,1657.2447859,1635.193993,1657.2447859,626.2253924510351,5009.803139608281,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1635.193993,5009.803139608281,033a15b88c5626ec,1.0,1.0,0.6619992061004064,1.0,BALANCED,True,0.8816997221351421
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1693.94633,1724.6189285,1693.94633,1724.6189285,604.5055748608045,4836.044598886436,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1693.94633,4836.044598886436,033a15b88c5626ec,0.0,0.0,0.6950157824182576,1.0,BALANCED,True,0.4432555238463901
