pipeline_id,entropy_sample_count,randomness_sample_count,avalanche_sample_count,mi_sample_count,attack_sample_count,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score
A6_FULL_HARDENED,24,,12,64,24,0.8845100863109849,0.75,0.9905521055911681,0.04392332207402111,1.0,1.0,0.7409950018312257
A2_PQC_LINDBLAD,21,,12,64,21,0.8790009125128998,0.75,0.9852297008547009,0.03885795608400472,1.0,1.0,0.737806274473231
A5_HYBRID_QKD_LINDBLAD,24,,12,64,24,0.8781876602240758,0.75,0.975,0.04479916444428739,1.0,1.0,0.7372567479448764
A4_HYBRID_QKD_AUTH,24,,12,64,24,0.8818149834759933,0.75,0.9956385772792022,0.0279656361417841,1.0,0.9743589743589743,0.7366106084071842
B2_MINIMAL_PQC,24,,12,64,24,0.8840988477144174,0.75,0.9915726273148148,0.02350930815604435,1.0,0.9814814814814815,0.7360365417311094
B1_CLASSICAL,24,,12,64,24,0.887684495869173,0.75,0.9845558449074073,0.023991097365278824,1.0,0.9814814814814815,0.7359767942505342
A3_HYBRID_QKD,23,,12,64,23,0.8828339212842458,0.75,0.9952863470441595,0.027164346135815975,1.0,0.9487179487179487,0.735370199040746
A0_MINIMAL_PQC,6,,6,64,6,0.7697637617913192,0.75,0.9940215455840455,0.033130640939054434,1.0,1.0,0.7106703004732475
A1_PQC_AUTH,6,,6,64,6,0.7655073089943982,0.75,0.985648148148148,0.03967003119815249,1.0,1.0,0.7096580557104524
P3_HYBRID_QKD,24,,12,64,24,0.8830583547843085,0.75,0.9944299768518519,0.045314105193227316,0.8,0.9716312056737588,0.7000734665461884
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,24,,12,64,24,0.8974662324939768,0.75,0.9741030092592593,0.03791519379984215,0.8,0.9814814814814815,0.6996391223464256
P1_PQC_MLDSA,24,,12,64,24,0.8814290604625935,0.75,0.9908854166666667,0.030233191803516024,0.8,0.9907407407407407,0.6970737530133887
P4_HYBRID_QKD_LINDBLAD,24,,12,64,24,0.8808829749407642,0.75,0.977611400462963,0.03948459178605862,0.8,0.9551282051282052,0.6950157824182576
A7_PQC_AUTH_NO_REPLAY,6,,6,64,6,0.7867247137391419,0.75,0.994767183048433,0.050437458016470205,0.8,1.0,0.6784837474953445
P2_PQC_MLDSA_LINDBLAD,24,,12,64,24,0.8866010676312208,0.5,0.9942853009259259,0.03509576091896771,0.8,0.983739837398374,0.6619992061004064
